name,x_percent,y_percent,type
White Peaks,88.27,33.61,mountain
Vercy Wood,96.18,34.48,forest
The Ride,91.19,37.17,region
Thar,98.09,41.16,region
Border Forest,86.42,42.03,forest
Zhentil Keep,91.30,43.33,city
Hillsfar,93.01,47.29,city
Myth Drannor,90.46,50.28,city
Cormanthor,94.00,52.54,forest
Spiderhaunt Woods,83.70,50.46,forest
Sea of Moonshae,30.93,55.35,river
Norland,27.32,57.57,island
Rogarsheim,28.63,56.24,town
Iron Keep,30.93,58.82,town
Omans Isle,30.00,60.55,island
Alaron,35.48,60.55,island
Fairheight Range,35.48,55.07,mountain
Dernal Forest,34.11,57.57,forest
Caer Moray,27.39,62.47,town
Trollclaw Range,25.64,62.76,mountain
Dynnegall,28.51,63.35,town
Farview,26.95,64.49,town
Moray,27.39,65.66,island
Gwynneth,31.99,63.54,island
Myrloch Vale,31.81,65.66,region
Caer Corwell,31.37,68.33,town
Snowdown,36.97,67.19,island
Caer Westphal,37.35,68.14,town
Winding Water,50.06,54.26,river
The Trollclaws,54.98,53.91,mountain
Trollclaw Ford,54.30,55.35,town
Boareskyr Bridge,58.59,54.49,town
Forest of Wyrms,61.58,52.95,forest
The Fields of the Dead,57.34,59.20,region
River Chionthar,55.54,61.80,river
River Chionthar,66.10,71.80,river
Elturel,59.83,62.09,town
Fort Morninglord,59.21,63.35,town
Elturgard,60.96,64.49,region
Sword Coast,46.02,54.49,region
Sea of Swords,44.52,61.41,river
Baldur's Gate,52.43,63.63,city
The Cloakwood,51.31,66.51,forest
Candlekeep,52.06,70.50,city
Wood of Sharp Teeth,58.35,67.76,forest
Northdark Wood,65.08,56.21,forest
Hardbuckler,64.46,56.89,town
Trielta Hills,62.40,57.57,mountain
The Reaching Woods,65.14,61.60,forest
Triel,61.97,61.41,town
Scornubel,62.90,63.44,town
Sunset Mountains,70.25,59.39,mountain
Darkhold,69.13,61.32,town
The Far Hills,68.19,62.66,mountain
The Storm Horns,75.23,61.22,mountain
The High Moors,78.16,57.66,region
Arabel,79.71,61.41,city
Cormyr,81.21,65.07,region
Marsember,78.59,68.34,city
Lake of Dragons,77.22,67.09,river
Proskur,73.61,69.59,town
Berdusk,63.77,69.21,town
Iriaebor,67.51,70.19,town
Easting,69.31,72.25,town
Elversult,75.97,73.18,town
Priapurl,72.66,73.91,town
The Green Fields,63.29,75.14,region
Troll Mountains,68.24,77.78,mountain
Giant's Run Mountains,80.11,77.78,mountain
The Dalelands,88.44,56.53,region
Hullack Forest,82.38,61.65,forest
Thunder Peaks,85.29,62.34,mountain
Archwood,88.94,61.65,forest
Ordulin,93.26,61.39,town
Yhaunn,95.62,62.26,town
Sembia,91.92,63.73,region
Mulhessen,88.32,66.67,town
Selgaunt,91.52,67.63,town
Saerloon,89.78,68.76,town
Sea of Fallen Stars,95.73,69.28,river
Westgate,84.06,71.20,town
The Nelanther,24.00,37.80,island
The Cloud Peaks,64.50,28.70,mountain
Amn,59.30,83.80,region
The Small Teeth,65.00,55.10,mountain
Murann,64.50,63.80,city
Forest of Tethir,62.20,94.30,forest
The Giant's Plain,74.30,79.50,region
The Snakewood,63.50,79.80,forest
Shilmista Forest,73.10,86.80,forest
Snowflake Mountains,74.30,89.60,mountain
The Shining Plains,79.60,91.10,region
Tejarn Hills,64.00,90.30,region
Riatavin,68.90,93.00,town
Gulthmere,86.90,78.70,forest
Orsraun Mountains,89.80,85.90,mountain
Turmish,97.50,85.90,region
The Flooded Forest,85.00,88.60,forest
The Aphrunn Mountains,98.10,90.80,mountain
Ormath,83.00,92.30,town
Hlondeth,92.00,94.60,city
Deepwing Mountains,86.00,96.30,mountain
The Vilhon Reach,94.60,96.30,region
